,Date,Distance,Calories,Avg HR,Avg Run Cadence,Avg Pace,Best Pace,Avg Stride Length,Elapsed Time,Avg Speed,Best Speed,Count,isInjured
805,2019-07-09 14:19:00,2.52,167.0,146.0,148,7.833333333333333,6.25,1.4,19.766666666666666,7.659574468085107,9.6,1,0
803,2019-07-12 09:29:00,6.04,556.0,166.0,150,8.716666666666667,3.1666666666666665,1.23,52.7,6.8833652007648185,18.947368421052634,1,0
802,2019-07-16 11:19:00,5.63,518.0,166.0,148,8.783333333333333,6.75,1.24,85.48333333333333,6.83111954459203,8.88888888888889,1,0
801,2019-07-19 09:39:00,4.03,390.0,167.0,150,9.016666666666667,1.0333333333333334,1.19,36.333333333333336,6.6543438077634,58.06451612903225,1,0
798,2019-07-30 12:02:00,4.81,449.0,167.0,148,8.7,5.2,1.24,51.75,6.8965517241379315,11.538461538461538,1,0
797,2019-07-31 12:00:00,7.01,641.0,173.0,148,8.266666666666667,4.4,1.31,65.33333333333333,7.258064516129031,13.636363636363635,1,0
795,2019-08-02 19:08:00,7.01,611.0,167.0,148,8.183333333333334,4.15,1.33,61.06666666666667,7.3319755600814664,14.457831325301203,1,0
791,2019-08-08 09:27:00,4.0,206.0,134.0,148,7.7,5.85,1.41,30.833333333333332,7.792207792207792,10.256410256410257,1,0
790,2019-08-11 20:13:00,8.0,740.0,157.0,148,8.95,4.366666666666666,1.22,71.71666666666667,6.703910614525141,13.740458015267176,1,0
789,2019-08-16 09:34:00,3.97,376.0,161.0,144,9.066666666666666,5.55,1.23,36.05,6.61764705882353,10.81081081081081,1,0
788,2019-08-17 15:56:00,3.01,262.0,166.0,148,7.55,5.216666666666667,1.44,22.733333333333334,7.9470198675496695,11.501597444089457,1,0
787,2019-08-18 06:44:00,7.0,670.0,171.0,150,8.133333333333333,7.15,1.33,56.916666666666664,7.3770491803278695,8.391608391608392,1,0
786,2019-08-19 08:11:00,3.27,306.0,152.0,154,9.25,6.916666666666667,1.13,30.25,6.486486486486487,8.674698795180722,1,0
785,2019-08-19 18:05:00,2.35,216.0,160.0,148,8.25,2.7,1.31,19.4,7.2727272727272725,22.22222222222222,1,0
783,2019-08-21 09:09:00,4.1,411.0,170.0,152,7.966666666666667,6.016666666666667,1.32,32.61666666666667,7.531380753138075,9.97229916897507,1,0
782,2019-08-22 07:38:00,5.07,494.0,150.0,152,8.933333333333334,7.083333333333333,1.19,50.016666666666666,6.716417910447761,8.470588235294118,1,0
781,2019-08-23 08:25:00,4.05,375.0,158.0,152,8.0,6.783333333333333,1.32,35.96666666666667,7.5,8.845208845208845,1,0
780,2019-08-24 08:44:00,5.99,461.0,155.0,156,7.033333333333333,5.033333333333333,1.47,81.51666666666667,8.530805687203792,11.920529801324504,1,0
779,2019-08-24 10:26:00,0.26,20.0,129.0,154,8.616666666666667,3.0166666666666666,1.21,134.7,6.963249516441006,19.88950276243094,1,0
778,2019-08-25 08:17:00,7.18,691.0,150.0,150,9.033333333333333,6.833333333333333,1.19,64.91666666666667,6.642066420664206,8.78048780487805,1,0
777,2019-08-26 15:18:00,4.39,393.0,154.0,148,7.9,7.2,1.38,39.36666666666667,7.594936708860759,8.333333333333334,1,0
776,2019-08-27 16:34:00,6.62,603.0,158.0,152,8.016666666666667,3.3333333333333335,1.31,65.21666666666667,7.484407484407484,18.0,1,0
774,2019-08-29 15:16:00,4.48,423.0,162.0,148,7.9,1.35,1.38,36.85,7.594936708860759,44.44444444444444,1,0
773,2019-08-30 15:22:00,1.79,173.0,155.0,148,8.516666666666667,5.2,1.28,22.483333333333334,7.045009784735812,11.538461538461538,1,0
772,2019-08-30 17:20:00,3.92,387.0,171.0,154,8.0,4.8,1.31,31.333333333333332,7.5,12.5,1,0
770,2019-08-31 12:51:00,6.01,543.0,147.0,150,8.733333333333333,5.616666666666667,1.23,52.43333333333333,6.870229007633588,10.682492581602373,1,0
769,2019-09-01 08:15:00,5.62,485.0,154.0,152,7.783333333333333,6.416666666666667,1.35,44.666666666666664,7.7087794432548185,9.35064935064935,1,0
767,2019-09-03 15:54:00,5.5,545.0,163.0,146,8.6,5.533333333333333,1.27,47.333333333333336,6.976744186046512,10.843373493975903,1,0
766,2019-09-03 16:49:00,0.72,70.0,143.0,150,9.316666666666666,3.5166666666666666,1.15,402.6,6.440071556350627,17.061611374407583,1,0
765,2019-09-05 15:14:00,2.01,167.0,149.0,148,7.7,2.7666666666666666,1.41,15.55,7.792207792207792,21.686746987951807,1,0
764,2019-09-05 15:43:00,3.15,287.0,166.0,154,7.383333333333334,5.65,1.41,29.666666666666668,8.126410835214447,10.619469026548671,1,0
762,2019-09-06 15:17:00,5.01,457.0,146.0,148,8.7,6.9,1.24,47.13333333333333,6.8965517241379315,8.695652173913043,1,0
761,2019-09-07 09:01:00,2.47,210.0,143.0,150,8.166666666666666,1.1,1.31,35.0,7.346938775510204,54.54545454545454,1,0
760,2019-09-07 09:52:00,3.84,279.0,165.0,164,5.916666666666667,4.816666666666666,1.67,38.416666666666664,10.140845070422534,12.456747404844291,1,0
759,2019-09-07 11:04:00,1.0,96.0,141.0,152,8.85,2.4833333333333334,1.2,531.8,6.779661016949153,24.161073825503355,1,0
757,2019-09-09 15:39:00,5.01,464.0,155.0,150,7.916666666666667,1.5666666666666667,1.37,40.416666666666664,7.578947368421052,38.297872340425535,1,0
755,2019-09-10 05:56:00,6.0,528.0,163.0,156,7.15,6.45,1.45,42.916666666666664,8.391608391608392,9.30232558139535,1,0
753,2019-09-11 14:58:00,3.51,337.0,158.0,148,8.083333333333334,4.116666666666666,1.34,30.866666666666667,7.422680412371133,14.574898785425102,1,0
752,2019-09-11 15:30:00,1.5,157.0,166.0,146,8.45,7.766666666666667,1.3,12.666666666666666,7.100591715976332,7.725321888412017,1,0
751,2019-09-16 15:09:00,4.35,428.0,165.0,150,8.016666666666667,4.033333333333333,1.33,34.88333333333333,7.484407484407484,14.87603305785124,1,0
750,2019-09-17 15:26:00,4.47,372.0,158.0,152,7.35,3.55,1.43,60.95,8.16326530612245,16.901408450704228,1,0
749,2019-09-17 16:36:00,2.24,171.0,168.0,168,6.266666666666667,1.4166666666666667,1.51,29.483333333333334,9.574468085106384,42.35294117647059,1,0
748,2019-09-17 17:17:00,1.91,199.0,162.0,152,8.816666666666666,5.25,1.19,16.833333333333332,6.805293005671078,11.428571428571429,1,0
747,2019-09-19 15:57:00,3.03,240.0,159.0,152,7.733333333333333,1.0,1.37,26.483333333333334,7.758620689655173,60.0,1,0
745,2019-09-20 15:10:00,3.41,290.0,159.0,150,8.15,6.066666666666666,1.32,27.766666666666666,7.361963190184048,9.89010989010989,1,0
741,2019-09-22 12:41:00,5.5,530.0,162.0,152,9.0,6.566666666666666,1.17,49.63333333333333,6.666666666666667,9.137055837563452,1,0
740,2019-09-24 15:05:00,2.18,187.0,148.0,150,8.933333333333334,6.733333333333333,1.19,33.21666666666667,6.716417910447761,8.910891089108912,1,0
738,2019-09-24 16:48:00,1.62,157.0,154.0,150,9.033333333333333,7.666666666666667,1.19,14.583333333333334,6.642066420664206,7.826086956521739,1,0
737,2019-09-26 15:12:00,1.98,158.0,153.0,152,7.65,4.0,1.39,17.966666666666665,7.8431372549019605,15.0,1,0
736,2019-09-26 15:35:00,2.94,239.0,170.0,156,6.766666666666667,6.133333333333334,1.54,19.9,8.866995073891626,9.782608695652174,1,0
735,2019-09-26 16:24:00,0.99,90.0,157.0,154,7.966666666666667,3.283333333333333,1.31,473.3,7.531380753138075,18.274111675126903,1,0
734,2019-09-27 13:20:00,1.96,173.0,143.0,150,9.066666666666666,3.4,1.18,25.766666666666666,6.61764705882353,17.647058823529413,1,0
