Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,10/28/2021 11:11,FALSE,Oxford Running,6.33,617,0:46:57,148,178,2.6,160,185,7:25,4:32,182,179,1.35,0,0,0,0,0,0:00,0,0:00,No,02:14.6,7,0,0:46:53,0:49:22,772,887
Running,10/27/2021 13:06,FALSE,Oxford Running,6.41,618,0:46:41,145,168,2.7,160,173,7:17,6:11,202,192,1.38,0,0,0,0,0,0:00,0,0:00,No,02:48.8,7,0,0:46:39,0:47:41,772,886
Running,10/26/2021 15:18,FALSE,Butler County Running,7.73,768,0:54:29,156,182,3.2,161,197,7:03,4:06,59,63,1.41,0,0,0,0,0,0:00,0,0:00,No,00:09.9,22,0,0:51:08,1:18:05,774,804
Running,10/25/2021 18:01,FALSE,Oxford Running,6.01,631,0:44:22,151,171,3,156,163,7:23,6:56,125,124,1.39,0,0,0,0,0,0:00,0,0:00,No,00:06.6,7,0,0:44:20,0:44:22,771,889
Running,10/22/2021 18:03,FALSE,Butler County Running,5.81,558,0:40:56,150,171,2.5,160,240,7:03,4:15,23,23,1.39,0,0,0,0,0,0:00,0,0:00,No,00:07.7,11,0,0:39:55,0:51:44,774,801
Running,10/20/2021 17:59,FALSE,Butler County Running,5.07,451,0:40:00,136,159,2,156,163,7:53,6:58,50,46,1.31,0,0,0,0,0,0:00,0,0:00,No,00:32.8,6,0,0:39:59,0:40:36,771,815
Running,10/19/2021 15:16,FALSE,Butler County Running,8.55,834,0:58:42,159,194,3.6,161,197,6:52,4:27,283,278,1.43,0,0,0,0,0,0:00,0,0:00,No,00:58.7,20,0,0:56:33,1:31:00,785,912
Running,10/18/2021 17:54,FALSE,Oxford Running,7.35,655,0:56:39,143,172,2.2,156,171,7:43,6:33,134,209,1.34,0,0,0,0,0,0:00,0,0:00,No,02:24.7,8,0,0:56:36,0:57:41,771,892
Running,10/17/2021 8:45,FALSE,Butler County Running,8.95,"1,141",1:12:12,160,183,3.5,160,175,8:04,5:37,369,367,1.25,0,0,0,0,0,0:00,0,0:00,No,06:53.5,9,0,1:12:11,1:14:23,778,951
Running,10/15/2021 7:06,FALSE,Leon County Running,2.35,250,0:18:03,143,172,2.1,156,173,7:40,5:03,17,29,1.34,0,0,0,0,0,0:00,0,0:00,No,02:01.5,3,0,0:18:01,0:23:17,75,107
Running,10/14/2021 12:44,FALSE,Leon County Running,5.14,520,0:37:22,145,164,2.5,157,170,7:16,5:58,95,104,1.41,0,0,0,0,0,0:00,0,0:00,No,01:02.5,6,0,0:37:21,0:37:31,46,95
Running,10/13/2021 13:06,FALSE,Oxford Running,8.02,764,1:00:01,142,163,2.4,156,164,7:29,6:53,136,126,1.38,0,0,0,0,0,0:00,0,0:00,No,00:02.2,10,0,0:59:59,1:00:01,769,895
