Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,8/31/2021 16:55,FALSE,Butler County Running,1.76,187,0:16:01,150,161,2.2,156,165,9:06,8:23,10,9,1.12,0,0,0,0,0,--,--,--,0:00,0,0:00,No,06:51.7,2,0,0:00:00,0:16:01,772,799
Running,8/31/2021 15:57,FALSE,Butler County Running,5.59,551,0:41:52,170,184,3.6,145,190,7:30,5:16,54,63,1.42,0,0,0,0,0,--,--,--,0:00,0,0:00,No,01:09.3,19,0,0:00:00,0:41:52,776,791
Running,8/31/2021 15:02,FALSE,Butler County Running,2.46,231,0:19:43,150,166,2.4,157,169,8:00,6:55,10,23,1.28,0,0,0,0,0,--,--,--,0:00,0,0:00,No,03:42.2,3,0,0:00:00,0:36:55,774,804
Running,8/30/2021 16:19,FALSE,Butler County Running,4,370,0:29:47,153,165,3,162,177,7:26,6:32,13,10,1.34,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:01.1,5,0,0:00:00,0:30:26,772,799
Running,8/30/2021 6:27,FALSE,Butler County Running,3.12,278,0:24:12,147,156,2.4,162,171,7:46,6:36,--,3,1.28,0,0,0,0,0,--,--,--,0:00,0,0:00,No,01:04.2,4,0,0:00:00,0:24:12,793,801
Running,8/29/2021 7:53,FALSE,Butler County Running,9.1,853,1:13:17,151,162,3.3,163,213,8:03,3:54,174,178,1.23,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:27.4,10,0,0:00:00,1:30:05,771,896
Running,8/28/2021 9:13,FALSE,Butler County Running,1.62,164,0:13:18,158,166,2.3,165,174,8:13,7:18,10,--,1.19,0,0,0,0,0,--,--,--,0:00,0,0:00,No,04:58.1,2,0,0:00:00,0:16:00,772,799
Running,8/28/2021 8:31,FALSE,Butler County Running,6.01,559,0:39:45,174,184,3.9,167,184,6:37,4:48,92,113,1.46,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:02.7,7,0,0:00:00,0:39:45,771,860
Running,8/28/2021 7:57,FALSE,Butler County Running,2.18,198,0:17:04,144,163,2.3,159,190,7:51,4:38,56,49,1.29,0,0,0,0,0,--,--,--,0:00,0,0:00,No,01:00.1,3,0,0:00:00,0:28:58,781,836
Running,8/27/2021 8:46,FALSE,Oxford Running,3.01,280,0:23:35,145,164,2.6,162,210,7:51,6:57,94,104,1.27,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:02.3,4,0,0:00:00,0:23:42,787,896
Running,8/26/2021 16:31,FALSE,Oxford Running,3.03,268,0:22:31,146,158,2.5,164,179,7:26,6:33,105,106,1.32,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:11.9,4,0,0:00:00,0:24:42,835,906
Running,8/26/2021 6:24,FALSE,Butler County Running,4.56,428,0:35:53,150,178,3,163,206,7:52,3:59,24,26,1.26,0,0,0,0,0,--,--,--,0:00,0,0:00,No,04:18.4,5,0,0:00:00,0:37:50,787,811
Running,8/25/2021 17:13,FALSE,Oxford Running,2,183,0:15:34,145,160,2.2,160,169,7:46,7:03,24,100,1.29,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:03.4,3,0,0:00:00,0:18:02,788,894
Running,8/25/2021 8:54,FALSE,Oxford Running,5.01,467,0:42:30,143,155,2.6,161,169,8:29,7:16,119,118,1.18,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:03.8,6,0,0:00:00,0:44:36,771,895
Running,8/24/2021 15:53,FALSE,Butler County Running,5.93,693,1:09:29,155,186,3.5,94,191,11:43,4:20,17,16,1.34,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:06.0,18,0,0:00:00,1:10:56,788,801
Running,8/24/2021 15:01,FALSE,Butler County Running,2.54,228,0:19:30,151,174,2.4,157,191,7:40,4:41,28,27,1.34,0,0,0,0,0,--,--,--,0:00,0,0:00,No,03:50.6,3,0,0:00:00,0:46:25,774,804
Running,8/23/2021 15:15,FALSE,Butler County Running,5.56,527,0:42:17,160,176,3.4,161,218,7:36,3:58,50,49,1.33,0,0,0,0,0,--,--,--,0:00,0,0:00,No,03:32.8,6,0,0:00:00,1:00:25,771,804
Running,8/22/2021 8:46,FALSE,Butler County Running,10.01,951,1:16:26,157,177,3.8,164,215,7:38,6:35,403,405,1.28,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:03.1,11,0,0:00:00,1:31:33,791,"1,029"
Running,8/21/2021 9:29,FALSE,Butler County Running,8.31,806,1:06:54,163,182,3.8,144,232,8:03,5:15,136,142,1.35,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:18.5,16,0,0:00:00,1:27:42,772,814
Running,8/21/2021 8:48,FALSE,Butler County Running,2.3,211,0:18:06,149,168,2.4,158,190,7:52,4:53,30,30,1.3,0,0,0,0,0,--,--,--,0:00,0,0:00,No,02:04.6,3,0,0:00:00,0:33:58,771,804
Running,8/20/2021 12:51,FALSE,Oxford Running,4.01,389,0:32:01,155,170,3,163,176,7:59,6:39,13,3,1.24,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:02.6,5,0,0:00:00,0:33:49,771,796
Running,8/19/2021 8:53,FALSE,Muskegon County Running,2.1,177,0:14:26,158,179,2.7,164,202,6:52,4:35,43,52,1.43,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:49.3,3,0,0:00:00,0:23:07,674,705
Running,8/19/2021 8:07,FALSE,Muskegon County Running,6,567,0:44:16,158,172,3.5,166,176,7:22,6:17,301,271,1.32,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:02.7,7,0,0:00:00,0:44:16,631,711
Running,8/18/2021 18:01,FALSE,Muskegon County Running,3.13,309,0:25:22,151,160,2.7,161,172,8:06,6:40,144,139,1.24,0,0,0,0,0,--,--,--,0:00,0,0:00,No,01:03.3,4,0,0:00:00,0:25:22,634,703
Running,8/18/2021 7:56,FALSE,Muskegon County Running,5.1,499,0:42:32,149,160,3,162,175,8:21,5:46,138,115,1.19,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:47.8,6,0,0:00:00,0:43:05,646,705
Running,8/17/2021 11:38,FALSE,Fruitport Running,2.04,212,0:18:08,156,168,2.3,163,179,8:53,8:02,3,3,1.11,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:22.3,3,0,0:00:00,0:19:50,626,630
Running,8/17/2021 10:48,FALSE,Fruitport Running,4.88,509,0:39:28,169,201,3.5,133,192,8:05,4:52,502,501,1.37,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:02.0,15,0,0:00:00,0:42:40,590,636
Running,8/17/2021 10:22,FALSE,Fruitport Running,0.87,82,06:39.6,153,163,1.7,161,167,7:41,7:07,1,--,1.3,0,0,0,0,0,--,--,--,0:00,0,0:00,No,06:39.6,1,0,0:00:00,07:17.7,625,630
Running,8/17/2021 9:54,FALSE,Fruitport Running,2,198,0:15:54,155,166,2.4,163,173,7:57,7:21,11,7,1.24,0,0,0,0,0,--,--,--,0:00,0,0:00,No,07:52.2,2,0,0:00:00,0:15:54,623,630
Running,8/16/2021 7:39,FALSE,Muskegon County Running,6.26,497,0:48:28,140,154,2.5,161,219,7:44,4:17,116,45,1.29,0,0,0,0,0,--,--,--,0:00,0,0:00,No,01:28.8,7,0,0:00:00,0:54:29,619,705
Running,8/15/2021 8:06,FALSE,Oxford Running,10.08,949,1:14:55,160,173,4,166,181,7:26,6:42,266,342,1.3,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:30.8,11,0,0:00:00,1:17:14,788,"1,030"
Running,8/14/2021 13:13,FALSE,Butler County Running,3.01,282,0:21:45,159,174,3,165,174,7:14,6:38,28,40,1.35,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:02.7,4,0,0:00:00,0:21:45,771,804
Cardio,8/13/2021 10:05,FALSE,Cardio,0,500,0:45:03,148,157,2.7,--,--,--,--,--,--,0,0,0,0,0,0,--,--,--,0:00,0,0:00,No,45:03.3,1,0,0:00:00,0:45:03,--,--
Running,8/12/2021 17:46,FALSE,Seattle Running,4.01,369,0:31:08,153,170,2.9,162,172,7:46,7:01,24,63,1.28,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:02.6,5,0,0:00:00,0:41:38,19,78
Running,8/11/2021 18:41,FALSE,Seattle Running,7.01,638,0:53:07,148,167,3.2,163,175,7:35,6:09,75,121,1.3,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:14.4,9,0,0:00:00,1:21:03,16,82
Running,8/10/2021 19:19,FALSE,Seattle Running,4.01,369,0:31:45,146,159,2.6,163,172,7:55,7:18,11,83,1.25,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:02.1,5,0,0:31:42,0:37:21,16,94
Running,8/9/2021 18:35,FALSE,Seattle Running,6.01,546,0:46:27,146,157,3,165,176,7:44,6:44,--,60,1.26,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:02.4,7,0,0:46:23,0:48:38,18,84
Running,8/8/2021 17:56,FALSE,Seattle Running,12.01,"1,115",1:31:12,153,164,3.9,166,224,7:36,6:49,276,334,1.28,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:02.8,13,0,1:30:57,1:48:08,16,173
Running,8/7/2021 17:54,FALSE,Seattle Running,5,455,0:42:51,137,158,2.5,161,178,8:34,6:39,371,404,1.17,0,0,0,0,0,--,--,--,0:00,0,0:00,No,08:24.8,5,0,0:42:38,1:05:09,16,224
Running,8/6/2021 18:48,FALSE,Seattle Running,9.26,818,1:06:34,155,179,3.6,165,211,7:11,5:45,162,227,1.35,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:00.9,20,0,1:06:17,1:18:10,16,111
Running,8/5/2021 19:20,FALSE,Seattle Running,9.01,856,1:06:51,162,174,3.8,166,233,7:25,5:44,189,252,1.31,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:03.7,10,0,1:06:29,1:12:02,16,112
Running,8/4/2021 18:08,FALSE,Seattle Running,4.01,371,0:32:16,145,158,2.7,162,174,8:03,6:59,64,67,1.23,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:02.4,5,0,0:32:04,0:37:42,18,90
Running,8/4/2021 8:17,FALSE,Seattle Running,5.01,466,0:38:27,152,163,3,167,176,7:41,7:00,12,71,1.26,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:03.5,6,0,0:38:24,0:40:55,16,82
Running,8/3/2021 19:16,FALSE,Seattle Running,10.02,864,1:08:23,161,181,3.9,170,188,6:50,6:00,113,213,1.39,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:08.5,17,0,1:08:07,1:22:55,16,121
Running,8/2/2021 17:46,FALSE,Seattle Running,6.11,569,0:46:23,156,166,3.3,166,174,7:35,6:50,114,103,1.28,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:54.7,7,0,0:45:58,0:52:50,17,97
Running,8/1/2021 18:04,FALSE,Snohomish County Running,7.2,81,0:15:30,105,139,0.3,6,184,2:09,1:44,69,193,80.66,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:28.4,8,0,05:06.8,0:15:30,--,160
Running,8/1/2021 11:41,FALSE,Seattle Running,4.04,393,0:34:49,147,169,2.7,160,184,8:37,6:28,371,415,1.17,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:20.8,5,0,0:34:42,0:39:24,--,310
Running,7/31/2021 21:19,FALSE,Seattle Running,3.2,293,0:28:13,135,148,2.2,160,171,8:49,6:28,--,--,1.14,0,0,0,0,0,--,--,--,0:00,0,0:00,No,01:47.2,4,0,0:28:12,0:32:33,19,28
Running,7/31/2021 14:58,FALSE,Lewis County Running,4.03,444,1:36:40,93,139,0.6,77,249,24:01:00,2:06,866,898,0.87,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:02.5,5,0,1:09:14,1:36:40,"5,223","6,024"
Running,7/30/2021 18:38,FALSE,Seattle Running,6.17,553,0:47:17,147,168,3.1,161,174,7:40,6:52,177,170,1.3,0,0,0,0,0,--,--,--,0:00,0,0:00,No,01:24.7,7,0,0:47:04,1:06:21,16,112
Running,7/29/2021 17:30,FALSE,Seattle Running,8.01,776,1:00:08,163,210,3.9,163,182,7:30,6:24,164,139,1.31,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:03.0,9,0,0:59:20,1:09:47,16,114
Running,7/28/2021 19:53,FALSE,Seattle Running,3.01,274,0:24:10,141,156,2.4,161,174,8:02,6:52,7,7,1.24,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:02.8,4,0,0:23:51,0:25:50,6,22
Running,7/28/2021 8:05,FALSE,Seattle Running,5.01,467,0:38:35,150,162,3.1,166,176,7:42,7:07,38,86,1.26,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:02.1,6,0,0:38:34,0:44:06,16,82
Running,7/27/2021 19:08,FALSE,Seattle Running,10.01,932,1:11:46,165,179,4.3,165,178,7:10,6:09,75,130,1.36,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:01.2,12,0,1:11:42,1:24:28,16,80
Running,7/26/2021 18:43,FALSE,Seattle Running,6.01,547,0:45:05,151,165,3.1,164,172,7:30,6:49,62,65,1.31,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:03.1,7,0,0:44:53,0:59:50,16,54
Running,7/25/2021 7:19,FALSE,King County Running,12.82,"1,413",5:41:53,100,128,1.7,81,248,26:41:00,7:07,"3,642","3,628",0.75,0,0,0,0,0,--,--,--,0:00,0,0:00,No,19:06.8,13,0,4:56:18,6:10:22,"3,003","5,467"
Running,7/24/2021 14:14,FALSE,Seattle Running,10.01,948,1:14:26,164,178,4,164,178,7:26,6:48,466,461,1.32,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:02.0,11,0,1:14:01,1:32:19,16,344
Running,7/23/2021 7:52,FALSE,Seattle Running,6.03,588,0:46:33,159,168,3.4,165,174,7:44,7:11,64,77,1.26,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:09.3,7,0,0:46:30,0:49:47,19,91
Running,7/22/2021 18:58,FALSE,Seattle Running,7.01,650,0:50:52,160,172,3.5,166,178,7:15,6:37,270,211,1.33,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:03.8,8,0,0:50:40,0:54:53,16,161
Running,7/21/2021 19:17,FALSE,Seattle Running,3.01,288,0:22:40,152,165,2.8,164,174,7:32,6:59,10,11,1.3,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:02.4,4,0,0:22:39,0:22:40,19,38
Running,7/21/2021 7:47,FALSE,Seattle Running,5.01,476,0:38:35,153,161,3.1,166,174,7:42,6:43,27,84,1.26,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:03.5,6,0,0:38:29,0:39:29,16,84
Running,7/20/2021 19:23,FALSE,Seattle Running,9.03,837,1:05:03,162,177,4.1,167,180,7:13,6:01,94,173,1.33,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:49.8,26,0,1:04:53,1:08:26,16,101
Running,7/19/2021 18:46,FALSE,Seattle Running,6.01,551,0:44:58,152,168,3.1,163,174,7:29,6:48,83,85,1.32,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:02.3,7,0,0:44:52,0:58:25,17,52
Running,7/18/2021 10:47,FALSE,Seattle Running,4.03,382,0:34:41,138,147,2.4,161,170,8:36,7:30,15,16,1.17,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:17.0,5,0,0:34:38,0:49:19,5,22
Running,7/17/2021 15:25,FALSE,Seattle Running,10.01,935,1:12:32,161,175,4,165,178,7:15,6:29,284,222,1.34,0,0,0,0,0,--,--,--,0:00,0,0:00,No,00:02.3,11,0,1:12:16,1:25:04,16,151
Running,7/16/2021 8:28,FALSE,Seattle Running,6.21,593,0:47:24,156,168,3.5,165,202,7:38,4:06,124,84,1.28,0,0,0,0,0,--,--,--,0:00,0,0:00,No,01:56.5,7,0,0:47:14,0:56:16,17,121
